ID,X,Y,YEAR,SITE,UID,NUTRIENTS,PRIM_CLASS,SEC_CLASS,PROV,Ecozone,LATN,LONGW,ECPROV,ECREGION,WETREGION,PEATDEPTH,WTDEPTH,WETTYPE,CWFIS_date,YEAR,MONTH,DAY,SampleDate,Card_Date_Notes,stackID,out_dc,dc_class,ECOPROV
137,-432598.7026,605143.0205,1982,42,1982-42,,flat,treed_conif,MB,,54.28,-101.77,BO,MBs,BMc,74,-46,bog,dc820721,82,07,21,1982-07-21,,474,301,3,Eastern Boreal Plains
103,-408299.8795,629003.9318,1982,17,1982-17,,palsa,palsa,MB,,54.52,-101.43,BO,HBs,BMc,374,-25,bog,dc820625,82,06,25,1982-06-25,,448,177,1,Eastern Boreal Plains
133,-408299.8795,629003.9318,1982,18,1982-18,,palsa,palsa,MB,,54.52,-101.43,BO,HBs,BMc,289,-15,bog,dc820719,82,07,19,1982-07-19,,472,289,2,Eastern Boreal Plains
131,-427454.7652,623295.5049,1982,38,1982-38,1,basin_bog,treed_conif,MB,,54.45,-101.72,BO,MBs,BMc,257,-36,bog,dc820717,82,07,17,1982-07-17,,470,276,2,Eastern Boreal Plains
144,-303347.2471,625218.9844,1982,47,1982-47,1,basin_bog,treed_conif,MB,,54.57,-99.78,BO,HBs,BHc,100,-30,bog,dc820801,82,08,01,1982-08-01,,485,345,3,Eastern Boreal Plains
154,-265566.5944,589671.658,1982,57,1982-57,1,basin_bog,treed_conif,MB,,54.27,-99.15,BO,HBs,BHc,259,-49,bog,dc820806,82,08,06,1982-08-06,,490,270,2,Eastern Boreal Plains
227,-135462.9051,236958.4443,1983,42,1983-42,1,basin_bog,treed_conif,MB,,51.12,-96.95,BO,MBs,BMc,156,-22,bog,dc830806,83,08,06,1983-08-06,,671,422,4,Eastern Boreal Plains
234,-128711.064,300755.2281,1983,47,1983-47,1,basin_bog,treed_conif,MB,,51.7,-96.88,BO,MBs,BMc,341,-53,bog,dc830808,83,08,08,1983-08-08,,673,432,4,Eastern Boreal Plains
189,-108175.8163,67928.30989,1983,15,1983-15,1,domed,centre,MB,,49.6,-96.5,BO,LBs,BMt,280,-56,bog,dc830625,83,06,25,1983-06-25,also 27 jun 1983 on another card,629,133,1,Eastern Boreal Plains
233,-129623.2936,269900.7029,1983,46,1983-46,1,flat,treed_conif,MB,,51.42,-96.88,BO,MBs,BMc,469,-73,bog,dc830808,83,08,08,1983-08-08,,673,441,4,Eastern Boreal Plains
